5.9627e-06,-8.1671e-06,5.3027e-06,1.7727e-05,-1.5358e-06,-1.5936e-05
4.7006e-05,-6.4652e-05,4.2122e-05,0.0001406,-1.2242e-05,-0.0001267
0.00015639,-0.00021659,0.00014194,0.0004725,-4.1461e-05,-0.0004275
0.00036547,-0.00050998,0.00033642,0.0011163,-9.8713e-05,-0.0010144
0.00070382,-0.00098974,0.00065758,0.0021733,-0.00019355,-0.001984
0.0011994,-0.0016997,0.0011379,0.0037434,-0.00033535,-0.0034334
0.0018786,-0.0026826,0.0018108,0.0059237,-0.00053313,-0.0054596
0.0027665,-0.0039803,0.0027104,0.0088084,-0.00079519,-0.0081588
0.0038874,-0.0056337,0.0038728,0.012488,-0.0011289,-0.011626
0.0052644,-0.0076826,0.0053353,0.017047,-0.0015401,-0.015956
0.0069202,-0.010166,0.007138,0.022566,-0.0020333,-0.021238
0.0088772,-0.013123,0.0093236,0.029117,-0.0026104,-0.027561
0.011158,-0.016591,0.011938,0.036763,-0.0032709,-0.035008
0.013785,-0.020608,0.015032,0.045559,-0.0040112,-0.043658
0.016783,-0.025212,0.018659,0.055549,-0.0048239,-0.053585
0.020175,-0.030439,0.022881,0.066767,-0.0056975,-0.064856
0.023988,-0.036329,0.027766,0.079234,-0.0066157,-0.077538
0.028251,-0.042922,0.03339,0.092961,-0.0075569,-0.091689
0.032992,-0.050261,0.039842,0.10795,-0.0084936,-0.10737
0.038247,-0.058393,0.047226,0.1242,-0.0093919,-0.12465
0.044049,-0.067372,0.055666,0.14169,-0.010211,-0.14359
0.050438,-0.077263,0.065313,0.16041,-0.010903,-0.16428
0.057455,-0.088142,0.076354,0.18035,-0.011412,-0.18684
0.065146,-0.10011,0.089027,0.20149,-0.011673,-0.21139
0.07356,-0.11327,0.10363,0.2238,-0.011616,-0.23811
0.082746,-0.1278,0.12054,0.24724,-0.01116,-0.26718
0.092758,-0.14388,0.14021,0.27174,-0.010218,-0.29881
0.10365,-0.16172,0.16321,0.29713,-0.0086967,-0.33319
0.11547,-0.18159,0.19013,0.32316,-0.0065026,-0.3704
0.12826,-0.20373,0.22158,0.34941,-0.0035432,-0.41039
0.14206,-0.22834,0.25804,0.37527,0.00026587,-0.45284
0.1569,-0.25551,0.29969,0.40002,0.0049964,-0.49712
0.17277,-0.28515,0.34635,0.42293,0.010706,-0.54236
0.1897,-0.31699,0.39739,0.4434,0.01744,-0.58761
0.20767,-0.35062,0.45191,0.46109,0.025234,-0.63201
0.22165,-0.23789,0.25013,0.90556,0.0298,-0.99346
0.23952,-0.28742,0.34794,0.93571,0.039998,-1.0781
0.25544,-0.29946,0.3846,1.0641,0.049864,-1.2375
0.27236,-0.34471,0.47743,1.1027,0.061597,-1.3302
0.29045,-0.39689,0.5757,1.1016,0.074755,-1.3817
0.30982,-0.44915,0.66856,1.081,0.089156,-1.4083
0.33059,-0.50029,0.75562,1.0493,0.10475,-1.4191
0.35288,-0.55016,0.83799,1.0106,0.12157,-1.4195
0.37681,-0.59882,0.9167,0.96708,0.13966,-1.4124
0.40253,-0.64632,0.99254,0.92011,0.15912,-1.3998
0.43018,-0.69265,1.0661,0.87045,0.18006,-1.3831
0.45993,-0.73774,1.1376,0.81862,0.20259,-1.3631
0.49198,-0.78147,1.2075,0.76498,0.22687,-1.3404
0.52651,-0.82365,1.2758,0.70978,0.25306,-1.3155
0.56374,-0.86405,1.3427,0.6532,0.28132,-1.2886
0.6039,-0.90235,1.4079,0.5954,0.31185,-1.26
0.64724,-0.93819,1.4716,0.53647,0.34485,-1.23
0.69399,-0.97113,1.5335,0.47653,0.38052,-1.1987
0.74442,-1.0007,1.5934,0.41564,0.41908,-1.1663
